POLYID,DRAWORD,POINT_X,POINT_Y
22, 1845, 474682.965397, 4975732.37705
22, 1846, 474680.922757, 4975735.44186
22, 1847, 474683.987568, 4975738.50668
22, 1848, 474689.092891, 4975744.6346
22, 1849, 474692.157702, 4975750.76209
22, 1850, 474694.200342, 4975755.86954
22, 1851, 474695.220386, 4975759.95482
22, 1852, 474694.200342, 4975766.08444
22, 1853, 474690.115062, 4975781.40467
22, 1854, 474687.050251, 4975786.50999
22, 1855, 474682.965397, 4975790.59697
22, 1856, 474670.709982, 4975797.74707
22, 1857, 474668.667342, 4975799.78971
22, 1858, 474667.647299, 4975804.89503
22, 1859, 474667.647299, 4975812.04512
22, 1860, 474667.647299, 4975823.28007
22, 1861, 474666.624702, 4975829.40969
22, 1862, 474663.562019, 4975840.64506
22, 1863, 474661.519379, 4975848.81519
22, 1864, 474662.539848, 4975856.98533
22, 1865, 474663.562019, 4975862.09278
23, 1867, 475943.245765, 4975659.86121
23, 1868, 475954.480711, 4975654.75375
23, 1869, 475966.736125, 4975640.45357
23, 1870, 475974.906259, 4975613.8984
23, 1871, 475973.886216, 4975575.08569
23, 1872, 475973.886216, 4975529.12288
23, 1873, 475975.928856, 4975496.43979
23, 1874, 475969.800936, 4975482.14004
23, 1875, 475960.608631, 4975470.90466
23, 1876, 475932.012522, 4975457.62708
23, 1877, 475876.861667, 4975453.5418
23, 1878, 475860.520973, 4975455.58444
23, 1879, 475830.903118, 4975452.51963
23, 1880, 475803.329606, 4975430.04931
23, 1881, 475778.818777, 4975425.96446
23, 1882, 475764.519021, 4975425.96446
23, 1883, 475743.073003, 4975420.85701
23, 1884, 475717.540003, 4975443.32732
23, 1885, 475707.327228, 4975457.62708
23, 1886, 475698.134923, 4975478.05476
23, 1887, 475703.241948, 4975510.73785
23, 1888, 475724.690094, 4975549.55056
23, 1889, 475745.115643, 4975571.00041
23, 1890, 475775.753966, 4975590.40591
23, 1891, 475807.414461, 4975593.47072
23, 1892, 475833.967929, 4975589.38544
23, 1893, 475856.436118, 4975600.62082
23, 1894, 475891.161424, 4975623.09071
23, 1895, 475943.245765, 4975659.86121
24, 1897, 476402.831254, 4974920.38255
24, 1898, 476384.446217, 4974934.6806
24, 1899, 476336.445028, 4974963.28054
24, 1900, 476283.338516, 4974988.81354
24, 1901, 476223.082338, 4975014.34867
24, 1902, 476188.358735, 4975026.60621
24, 1903, 476132.187412, 4975041.92643
24, 1904, 476087.248906, 4975052.13904
24, 1905, 476033.120223, 4975062.35394
24, 1906, 475983.076394, 4975068.48161
24, 1907, 475930.990351, 4975067.46135
24, 1908, 475871.756344, 4975064.3965
24, 1909, 475805.372246, 4975058.26879
24, 1910, 475796.179515, 4975061.3316
24, 1911, 475788.009381, 4975066.43905
24, 1912, 475753.285777, 4975083.80179
24, 1913, 475629.708185, 4975195.13252
24, 1914, 475624.602862, 4975197.17516
24, 1915, 475624.602862, 4975201.26044
24, 1916, 475620.517582, 4975203.30478
24, 1917, 475607.239996, 4975214.54015
24, 1918, 475572.516393, 4975260.50083
24, 1919, 475627.665545, 4975371.83152
24, 1920, 475651.155905, 4975363.66138
24, 1921, 475671.581454, 4975353.44648
24, 1922, 475679.751588, 4975345.27592
24, 1923, 475684.859039, 4975338.12626
24, 1924, 475688.944319, 4975322.80603
24, 1925, 475688.944319, 4975292.16345
24, 1926, 475689.964363, 4975274.80059
24, 1927, 475706.305057, 4975235.98787
24, 1928, 475716.517832, 4975211.47492
24, 1929, 475724.690094, 4975184.91974
24, 1930, 476802.158437, 4975183.89757
24, 1931, 476802.158437, 4974920.38255
24, 1932, 476402.831254, 4974920.38255
25, 1934, 475550.048204, 4974920.38255
25, 1935, 475552.088716, 4974933.66056
25, 1936, 475573.536862, 4975068.48161
25, 1937, 475572.516393, 4975074.60927
25, 1938, 475576.601673, 4975077.67412
25, 1939, 475587.83449, 4975108.31666
25, 1940, 475578.643887, 4975171.64216
25, 1941, 475572.516393, 4975260.50083
25, 1942, 475607.239996, 4975214.54015
25, 1943, 475620.517582, 4975203.30478
25, 1944, 475624.602862, 4975201.26044
25, 1945, 475624.602862, 4975197.17516
25, 1946, 475629.708185, 4975195.13252
25, 1947, 475753.285777, 4975083.80179
